dominio_id,ambito_id,concetto_id,desc_id
d_1,a_1,c_11,d_1-a_1-c_11
d_4,a_4,c_11,d_4-a_4-c_11
d_1,a_1,c_20,d_1-a_1-c_20
d_1,a_8,c_20,d_1-a_8-c_20
d_1,a_1,c_142,d_1-a_1-c_142
d_1,a_7,c_142,d_1-a_7-c_142
d_7,a_10,c_41,d_7-a_10-c_41
d_4,a_4,c_362,d_4-a_4-c_362
d_6,a_32,c_250,d_6-a_32-c_250
d_10,a_15,c_195,d_10-a_15-c_195
d_6,a_32,c_203,d_6-a_32-c_203
d_1,a_7,c_113,d_1-a_7-c_113
d_1,a_1,c_187,d_1-a_1-c_187
d_1,a_8,c_187,d_1-a_8-c_187
d_6,a_9,c_418,d_6-a_9-c_418
d_10,a_36,c_282,d_10-a_36-c_282
d_6,a_17,c_221,d_6-a_17-c_221
d_3,a_25,c_110,d_3-a_25-c_110
d_6,a_9,c_346,d_6-a_9-c_346
d_2,a_26,c_115,d_2-a_26-c_115
d_2,a_21,c_644,d_2-a_21-c_644
d_8,a_11,c_29,d_8-a_11-c_29
d_6,a_32,c_252,d_6-a_32-c_252
d_4,a_4,c_380,d_4-a_4-c_380
d_10,a_15,c_191,d_10-a_15-c_191
d_7,a_10,c_524,d_7-a_10-c_524
d_10,a_37,c_535,d_10-a_37-c_535
d_10,a_37,c_390,d_10-a_37-c_390
d_7,a_10,c_52,d_7-a_10-c_52
d_7,a_10,c_428,d_7-a_10-c_428
d_7,a_10,c_431,d_7-a_10-c_431
d_7,a_10,c_430,d_7-a_10-c_430
d_7,a_10,c_429,d_7-a_10-c_429
d_6,a_9,c_345,d_6-a_9-c_345
d_6,a_9,c_410,d_6-a_9-c_410
d_6,a_9,c_408,d_6-a_9-c_408
d_6,a_33,c_205,d_6-a_33-c_205
d_12,a_27,c_475,d_12-a_27-c_475
d_6,a_35,c_237,d_6-a_35-c_237
d_11,a_22,c_477,d_11-a_22-c_477
d_11,a_30,c_590,d_11-a_30-c_590
d_11,a_30,c_591,d_11-a_30-c_591
d_6,a_32,c_388,d_6-a_32-c_388
d_6,a_32,c_517,d_6-a_32-c_517
d_6,a_32,c_515,d_6-a_32-c_515
d_6,a_32,c_513,d_6-a_32-c_513
d_11,a_22,c_595,d_11-a_22-c_595
d_11,a_22,c_593,d_11-a_22-c_593
d_11,a_22,c_598,d_11-a_22-c_598
d_11,a_22,c_594,d_11-a_22-c_594
d_11,a_22,c_579,d_11-a_22-c_579
d_6,a_9,c_261,d_6-a_9-c_261
d_5,a_6,c_13,d_5-a_6-c_13
d_2,a_26,c_119,d_2-a_26-c_119
d_7,a_10,c_175,d_7-a_10-c_175
d_9,a_12,c_303,d_9-a_12-c_303
d_9,a_12,c_155,d_9-a_12-c_155
d_9,a_12,c_154,d_9-a_12-c_154
d_6,a_35,c_245,d_6-a_35-c_245
d_6,a_35,c_235,d_6-a_35-c_235
d_6,a_32,c_556,d_6-a_32-c_556
d_8,a_23,c_338,d_8-a_23-c_338
d_10,a_15,c_194,d_10-a_15-c_194
d_4,a_4,c_369,d_4-a_4-c_369
d_10,a_20,c_141,d_10-a_20-c_141
d_6,a_17,c_60,d_6-a_17-c_60
d_7,a_10,c_552,d_7-a_10-c_552
d_7,a_10,c_553,d_7-a_10-c_553
d_7,a_10,c_554,d_7-a_10-c_554
d_7,a_10,c_94,d_7-a_10-c_94
d_7,a_10,c_91,d_7-a_10-c_91
d_7,a_10,c_174,d_7-a_10-c_174
d_7,a_10,c_246,d_7-a_10-c_246
d_10,a_15,c_199,d_10-a_15-c_199
d_3,a_24,c_107,d_3-a_24-c_107
d_6,a_33,c_614,d_6-a_33-c_614
d_6,a_9,c_409,d_6-a_9-c_409
d_6,a_35,c_241,d_6-a_35-c_241
d_9,a_12,c_32,d_9-a_12-c_32
d_1,a_7,c_357,d_1-a_7-c_357
d_1,a_1,c_364,d_1-a_1-c_364
d_1,a_1,c_442,d_1-a_1-c_442
d_1,a_1,c_443,d_1-a_1-c_443
d_11,a_18,c_61,d_11-a_18-c_61
d_6,a_17,c_229,d_6-a_17-c_229
d_5,a_14,c_300,d_5-a_14-c_300
d_11,a_30,c_149,d_11-a_30-c_149
d_11,a_30,c_147,d_11-a_30-c_147
d_5,a_14,c_298,d_5-a_14-c_298
d_10,a_36,c_285,d_10-a_36-c_285
d_9,a_12,c_97,d_9-a_12-c_97
d_9,a_12,c_569,d_9-a_12-c_569
d_9,a_12,c_100,d_9-a_12-c_100
d_6,a_17,c_222,d_6-a_17-c_222
d_11,a_30,c_148,d_11-a_30-c_148
d_6,a_33,c_216,d_6-a_33-c_216
d_2,a_21,c_436,d_2-a_21-c_436
d_10,a_36,c_279,d_10-a_36-c_279
d_3,a_25,c_402,d_3-a_25-c_402
d_3,a_3,c_152,d_3-a_3-c_152
d_3,a_3,c_479,d_3-a_3-c_479
d_3,a_3,c_480,d_3-a_3-c_480
